title,author,price
 人工智能与ChatGPT（新时代·科技新物种）,范煜,¥49.50
 软件平台架构设计与技术管理之道,由维昭,¥39.50
 DaVinci Resolve 18 达芬奇视频剪辑与调色,王岩 罗沙,¥49.50
 Unity 2D游戏开发,[美]杰瑞德·哈尔彭(Jared Halpern) 著；郭华丰 陶有旺 译,¥39.90
 小学生C++编程入门,喻蓉蓉 主编,¥28.00
 漫画计算机原理 在异世界从零制造计算机,[日]川添爱,¥34.90
 MySQL从入门到精通（第3版）,明日科技,¥44.90
 信息学竞赛入门篇,信息学名师工作室,¥38.00
 HCIP-Datacom认证实验指南 2023最新华为数通认证实验手册 华为HCIP路由与交换技术 hcipdataco,长沙卓应教育咨询有限公司 组编 ，刘伟、王鹏编著,¥103.60
 Word/Excel/ PPT最强教科书【套装完全版】,张栋，[日]藤井直弥 著;,¥237.00
 The Little SAS Book 中文版,"[美]Lora D. Delwiche（洛拉·D·德尔维奇） , Susan J. Slaughter（苏珊·J·斯劳特） 著，小小SAS翻译组 译",¥49.50
 C++高性能编程,[美]费多尔·G.皮克斯 著 刘鹏 译,¥69.50
 eNSP网络技术与应用从基础到实战,"许成刚,阮晓龙,高海波,杜宇飞, 刘海滨",¥32.60
 机器学习中的统计思维（Python实现）,董平,¥49.50
 FLL+WRO乐高机器人竞赛教程——机械、巡线与PID,蔡冬冬 沈松华,¥49.50
 蓝桥杯 真题分类解析（C/C++版·软件类）,丁向民,¥29.00
 SSM + Spring Boot + Vue.js 3全栈开发从入门到实战（微课视频版）,陈恒 李正光 楼偶俊 刁建华,¥49.90
 C# 10 和 .NET 6入门与跨平台开发（第6版）,[美] 马克·J.普莱斯(Mark J. Price)著 叶伟民 译,¥84.00
 华为HCIP路由与交换技术实战,江礼教,¥44.50
 云原生Kubernetes全栈架构师实战,杜宽,¥69.00
 cad cam cae微视频讲解大系 中文版AutoCAD2023从入门到精通实战案例视频教学 autocad教材自学版,天工在线,¥88.00
 Vue.js 3.x+Element Plus前端开发实战,趣千厘,¥49.50
 机器学习公式详解第2版 周志华西瓜书《机器学习》伴侣书南瓜书新版上市！了解人工智能ChatGpt底层数学逻辑！,谢文睿，秦州，贾彬彬,¥44.90
 网络运维从入门到精通——29个实践项目详解,樊胜民 编,¥49.50
